データコード,PR01'PRCG15_2400000000,PR01'PRCG15_2600000000,IR01'MADR1M,MD01'MABS2AN116,MD01'MABS2AN117,FM08'FXERM07,FM02'STRECLUCON,FM02'STRACLUCON,IR04'DLLR2CIDBNL2,IR04'DLLR2CIDBNL3,IR04'DLLR2CIDBNL1,IR04'DLLR2CIDBST2,IR04'DLLR2CIDBST3,FM02'STRACP1M
系列名称,"[輸出物価指数/円ベース] 総平均","[輸入物価指数/円ベース] 総平均","基準割引率および基準貸付利率","マネタリーベース平均残高／うち 日本銀行券発行高","マネタリーベース平均残高／うち 貨幣流通高","東京市場　ドル・円　スポット　17時時点/月中平均","無担保コールレート・Ｏ／Ｎ　月末／金利","無担保コールレート・Ｏ／Ｎ　月平均／金利","新規/短期/国内銀行","新規/長期/国内銀行","新規/総合/国内銀行","ストック/短期/国内銀行","ストック/長期/国内銀行","（更新停止）国内コマーシャルペーパー発行平均金利/１か月（2009年10月まで）"
系列名称（英字）,"[Export Price Index / yen basis] All commodities","[Import Price Index / yen basis] All commodities","The Basic Discount Rate and Basic Loan Rate","Monetary Base/Banknotes in Circulation/Average Amounts Outstanding","Monetary Base/Coins in Circulation/Average Amounts Outstanding","US.Dollar/Yen Spot Rate at 17:00 in JST, Average in the Month, Tokyo Market","Call Rate, Uncollateralized Overnight/End of Month","Call Rate, Uncollateralized Overnight/Average","New Loans and Discounts/Short-term Loans and Discounts/Domestically Licensed Banks","New Loans and Discounts/Long-term Loans/Domestically Licensed Banks","New Loans and Discounts/Total/Domestically Licensed Banks","Outstanding Loans and Bills Discounted/Short-term Loans and Discounts/Domestically Licensed Banks","Outstanding Loans and Bills Discounted/Long-term Loans/Domestically Licensed Banks","(Discontinued)Average Yields on Newly Issued Domestic Commercial Paper/1 Month (through October 2009)"
単位,"2015年=100","2015年=100","年％","億円","億円","1ドルにつき円","年％","年％","年％","年％","年％","年％","年％","年％"
単位（英字）,"CY2015 average=100","CY2015 average=100","Percent per annum","100 million yen","100 million yen","Yen per U.S. Dollar","percent per annum","percent per annum","Percent per annum","Percent per annum","Percent per annum","Percent per annum","Percent per annum","percent per annum"
統計種別・カテゴリ,"企業物価指数 2015年基準/輸出物価指数/円ベース","企業物価指数 2015年基準/輸入物価指数/円ベース","基準割引率および基準貸付利率","マネタリーベース","マネタリーベース","外国為替市況","コールレート (月次)","コールレート (月次)","貸出約定平均金利","貸出約定平均金利","貸出約定平均金利","貸出約定平均金利","貸出約定平均金利","国内コマーシャルペーパー発行平均金利"
統計種別・カテゴリ(英字),"Corporate Goods Price Index (2015 Base)/ Export Price Index (yen basis)","Corporate Goods Price Index (2015 Base)/ Import Price Index (yen basis)","The Basic Discount Rates and Basic Loan Rates","Monetary Base","Monetary Base","Foreign Exchange Rates","Call Rate (Monthly)","Call Rate (Monthly)","Average Contract Interest Rates on Loans and Discounts","Average Contract Interest Rates on Loans and Discounts","Average Contract Interest Rates on Loans and Discounts","Average Contract Interest Rates on Loans and Discounts","Average Contract Interest Rates on Loans and Discounts","Average Yields on Newly Issued Domestic Commercial Paper"
変換方法,"AVERAGED","AVERAGED","END","AVERAGED","AVERAGED","AVERAGED","END","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED"
収録開始期,"1960/01","1960/01","1882/10","1970/01","1970/01","1973/01","1985/07","1985/07","1993/10","1993/10","1993/10","1993/10","1993/10","1994/09"
収録終了期,"2018/09","2018/09","2018/09","2018/09","2018/09","2018/09","2018/09","2018/09","2018/08","2018/08","2018/08","2018/08","2018/08","2009/10"
期種,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次
備考,"品目数：209、ウエイト：1000","品目数：258、ウエイト：1000","","","","注釈(a)参照。","","","注釈（h）参照。","注釈（h）参照。","注釈（h）参照。","","",""
備考（英字）,"Number of Commodity:209, Weights:1000","Number of Commodity:258, Weights:1000","","","","See note(a).","","","See note(h).","See note(h).","See note(h).","","",""

1960/01,120.9,43.5 ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1960/02,120.3,43.3 ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1960/03,119.9,43   ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1960/04,117.3,43   ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1960/05,116.9,42.7 ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1960/06,116  ,42.7 ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1960/07,116.4,42.1 ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1960/08,116.6,41.6 ,6.94,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1960/09,116.4,41.6 ,6.94,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1960/10,115.7,41.3 ,6.94,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1960/11,115.2,41.4 ,6.94,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1960/12,114.5,41.6 ,6.94,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1961/01,114  ,41.8 ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1961/02,114.2,41.9 ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1961/03,114.5,42.5 ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1961/04,114.9,43   ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1961/05,112.2,43.3 ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1961/06,112.2,42.7 ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1961/07,112  ,42.7 ,6.94,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1961/08,112  ,42.7 ,6.94,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1961/09,111.3,42.5 ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1961/10,110.7,42.3 ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1961/11,110.1,41.9 ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1961/12,109.7,41.9 ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1962/01,109.6,41.9 ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1962/02,109.8,41.9 ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1962/03,109.6,41.8 ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1962/04,109.3,41.6 ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1962/05,109.3,41.4 ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1962/06,109.1,41.3 ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1962/07,109.1,41.1 ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1962/08,108.6,40.6 ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1962/09,108.3,40.4 ,7.3 ,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1962/10,108  ,40.6 ,6.94,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1962/11,108  ,40.8 ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1962/12,108.7,40.9 ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1963/01,109.8,41.3 ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1963/02,110.5,41.4 ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1963/03,111  ,41.6 ,6.21,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1963/04,111  ,41.9 ,5.84,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1963/05,111  ,42.1 ,5.84,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1963/06,111.8,42.5 ,5.84,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1963/07,111.3,42.5 ,5.84,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1963/08,111.8,42.3 ,5.84,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1963/09,111.8,42.6 ,5.84,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1963/10,111.9,43   ,5.84,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1963/11,112.2,43.8 ,5.84,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1963/12,112.4,43.8 ,5.84,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1964/01,112.5,44   ,5.84,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1964/02,113  ,43.8 ,5.84,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1964/03,113  ,43.5 ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1964/04,113.1,43.3 ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1964/05,113.4,43   ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1964/06,113.2,43   ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1964/07,113.1,42.5 ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1964/08,113.2,42.5 ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1964/09,113  ,42.6 ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1964/10,112.8,42.7 ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1964/11,112.4,42.7 ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1964/12,112.4,42.5 ,6.57,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1965/01,113  ,41.9 ,6.21,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1965/02,113  ,41.9 ,6.21,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1965/03,112.8,41.8 ,6.21,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1965/04,112.8,41.9 ,5.84,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1965/05,112.4,41.9 ,5.84,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1965/06,112  ,42.1 ,5.48,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
1965/07,112  ,42.1 ,5.48,       ,     ,      ,       ,       ,     ,     ,     ,     ,     ,
