ÉfÅ[É^ÉRÅ[Éh,FM09'FX180110001,FM09'FX180110002
ånóÒñºèÃ,"ñºñ⁄é¿å¯à◊ë÷ÉåÅ[Égéwêî","é¿éøé¿å¯à◊ë÷ÉåÅ[Égéwêî"
ånóÒñºèÃÅiâpéöÅj,"Nominal/Effective Exchange Rates","Real/Effective Exchange Rates"
íPà ,"ÇQÇOÇPÇOîNÅÅÇPÇOÇO","ÇQÇOÇPÇOîNÅÅÇPÇOÇO"
íPà ÅiâpéöÅj,"2010=100","2010=100"
ìùåvéÌï ÅEÉJÉeÉSÉä,"é¿å¯à◊ë÷ÉåÅ[Ég","é¿å¯à◊ë÷ÉåÅ[Ég"
ìùåvéÌï ÅEÉJÉeÉSÉä(âpéö),"Effective Exchange Rate","Effective Exchange Rate"
ïœä∑ï˚ñ@,"AVERAGED","AVERAGED"
é˚ò^äJénä˙,"1970/01","1970/01"
é˚ò^èIóπä˙,"2018/09","2018/09"
ä˙éÌ,åééü,åééü
îıçl,"",""
îıçlÅiâpéöÅj,"",""

1970/01,22.26 ,58.29
1970/02,22.27 ,58.14
1970/03,22.27 ,58.34
1970/04,22.22 ,58.38
1970/05,22.18 ,57.8
1970/06,22.16 ,57.7
1970/07,22.14 ,57.31
1970/08,22.21 ,57.04
1970/09,22.22 ,57.76
1970/10,22.25 ,58.43
1970/11,22.25 ,58.32
1970/12,22.26 ,58.37
1971/01,22.22 ,58.31
1971/02,22.24 ,58.17
1971/03,22.25 ,58.11
1971/04,22.26 ,58.7
1971/05,22.22 ,58.6
1971/06,22.26 ,58.56
1971/07,22.45 ,58.77
1971/08,22.45 ,58.48
1971/09,23.51 ,62.52
1971/10,23.93 ,63.66
1971/11,24.08 ,63.41
1971/12,24.53 ,64.27
1972/01,24.93 ,65.09
1972/02,25.44 ,66.32
1972/03,25.64 ,67.1
1972/04,25.6  ,67.56
1972/05,25.53 ,67.28
1972/06,25.75 ,67.72
1972/07,26    ,67.99
1972/08,25.99 ,67.82
1972/09,26    ,67.97
1972/10,26.08 ,68.51
1972/11,26.14 ,68.58
1972/12,26.14 ,68.59
1973/01,26.05 ,68.92
1973/02,27.61 ,73.01
1973/03,28.77 ,77.46
1973/04,28.45 ,77.15
1973/05,28.39 ,77.62
1973/06,27.94 ,76.01
1973/07,27.51 ,74.79
1973/08,27.76 ,75.06
1973/09,27.76 ,76.55
1973/10,27.57 ,75.32
1973/11,26.83 ,73.16
1973/12,26.96 ,75.29
1974/01,25.88 ,73.78
1974/02,26.25 ,75.28
1974/03,26.79 ,76.25
1974/04,27.01 ,78.27
1974/05,26.72 ,77.06
1974/06,26.51 ,76.28
1974/07,25.77 ,74.91
1974/08,24.96 ,72.39
1974/09,25.35 ,73.44
1974/10,25.24 ,74.22
1974/11,25    ,73.34
1974/12,25.13 ,73.46
1975/01,24.98 ,73.26
1975/02,25.5  ,74.13
1975/03,25.72 ,75.12
1975/04,25.55 ,75.18
1975/05,25.56 ,74.85
1975/06,25.45 ,73.87
1975/07,25.71 ,74.11
1975/08,25.95 ,74.27
1975/09,25.96 ,75.29
1975/10,25.7  ,75.09
1975/11,25.67 ,74.24
1975/12,25.53 ,73.54
1976/01,25.58 ,74.67
1976/02,25.87 ,75.56
1976/03,26.17 ,76.22
1976/04,26.46 ,78.27
1976/05,26.53 ,78.34
1976/06,26.6  ,78.34
1976/07,26.99 ,79.43
1976/08,27.33 ,79.48
1976/09,27.64 ,82.17
1976/10,27.34 ,81.34
1976/11,26.95 ,79.92
1976/12,26.99 ,80.35
1977/01,27.29 ,81.26
1977/02,27.92 ,82.69
1977/03,28.37 ,83.84
1977/04,28.84 ,86.02
1977/05,28.6  ,85.56
1977/06,29.09 ,85.78
1977/07,29.8  ,87.1
1977/08,29.65 ,86.06
1977/09,29.68 ,87.17
1977/10,30.91 ,91.25
1977/11,32.04 ,93.26
1977/12,32.18 ,92.98
1978/01,31.88 ,91.75
1978/02,31.89 ,91.47
1978/03,32.95 ,94.76
1978/04,34.56 ,99.62
1978/05,34.15 ,98.32
1978/06,35.84 ,101.86
1978/07,38    ,107.52
1978/08,39.81 ,112.35
