有効求人数（パートタイム）【実数】,,,,,,,,,,,,,,,,,,,,,有効求人数（パートタイム）【季節調整値】,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実　　　　　　　　　　　　　　　　　　　　　　　　　　　　　数,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",年平均,年度平均,季　　　　　節　　　　　調　　　　　整　　　　　値,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均"
,63年,38年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,63年,38年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,64年,39年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,64年,39年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,65年,40年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,65年,40年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,66年,41年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,66年,41年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,67年,42年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,67年,42年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,68年,43年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,68年,43年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,69年,44年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,69年,44年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,70年,45年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,70年,45年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,71年,46年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,71年,46年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,72年,47年,"30,709 ","30,979 ","33,055 ","36,972 ","37,305 ","40,438 ","38,094 ","45,348 ","54,854 ","56,838 ","54,088 ","44,491 ","31,581 ","38,238 ","46,099 ","51,806 ","41,931 ","47,718 ",,72年,47年,"33,342 ","34,375 ","33,860 ","36,743 ","37,474 ","40,695 ","41,511 ","42,847 ","45,861 ","47,906 ","49,804 ","52,328 ","33,859 ","38,304 ","43,406 ","50,013 "
,73年,48年,"52,441 ","53,963 ","57,789 ","60,772 ","62,432 ","62,436 ","58,021 ","64,953 ","67,334 ","70,211 ","65,396 ","50,143 ","54,731 ","61,880 ","63,436 ","61,917 ","60,491 ","58,102 ",,73年,48年,"57,058 ","59,048 ","59,448 ","60,202 ","62,759 ","63,135 ","63,167 ","61,311 ","57,133 ","58,293 ","60,578 ","58,960 ","58,518 ","62,032 ","60,537 ","59,277 "
