新規求人数（新規学卒者を除きパートタイムを含む）【実数】,,,,,,,,,,,,,,,,,,,,,新規求人数（新規学卒者を除きパートタイムを含む）【季節調整値】,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実　　　　　　　　　　　　　　　　　　　　　　　　　　　　　数,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",年平均,年度平均,季　　　　　節　　　　　調　　　　　整　　　　　値,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",
,63年,38年,"326,556 ","377,225 ","413,048 ","408,263 ","379,551 ","344,750 ","373,992 ","392,360 ","406,423 ","378,556 ","292,290 ","224,490 ","372,276 ","377,521 ","390,925 ","298,445 ","359,792 ","379,577 ",,63年,38年,"298,132 ","328,292 ","335,947 ","337,799 ","357,781 ","384,684 ","412,782 ","351,164 ","375,451 ","354,031 ","384,798 ","381,516 ","320,790 ","360,088 ","379,799 ","373,448 ",
,64年,39年,"440,746 ","452,484 ","461,021 ","468,793 ","406,953 ","386,714 ","360,832 ","413,171 ","460,565 ","384,092 ","261,083 ","223,510 ","451,417 ","420,820 ","411,523 ","289,562 ","393,330 ","380,419 ",,64年,39年,"388,250 ","377,457 ","375,837 ","401,423 ","402,470 ","410,560 ","406,508 ","384,099 ","386,682 ","364,561 ","368,170 ","376,866 ","380,515 ","404,818 ","392,430 ","369,866 ",
,65年,40年,"380,493 ","382,031 ","436,793 ","378,406 ","313,665 ","269,707 ","252,614 ","310,327 ","310,859 ","298,772 ","210,493 ","158,450 ","399,772 ","320,593 ","291,267 ","222,572 ","308,551 ","303,512 ",,65年,40年,"344,761 ","332,566 ","336,608 ","320,328 ","314,038 ","289,311 ","284,924 ","278,710 ","266,292 ","290,320 ","278,139 ","268,288 ","337,978 ","307,892 ","276,642 ","278,916 ",
,66年,41年,"332,953 ","371,517 ","434,376 ","392,372 ","337,121 ","311,343 ","308,032 ","441,292 ","461,764 ","403,824 ","309,600 ","227,718 ","379,615 ","346,945 ","403,696 ","313,714 ","360,993 ","388,105 ",,66年,41年,"298,438 ","324,127 ","343,605 ","339,586 ","341,328 ","349,724 ","356,852 ","382,645 ","399,166 ","401,991 ","390,596 ","393,522 ","322,057 ","343,546 ","379,554 ","395,370 ",
,67年,42年,"498,617 ","457,734 ","507,837 ","471,139 ","439,364 ","382,272 ","382,092 ","531,169 ","546,095 ","426,798 ","347,393 ","248,239 ","488,063 ","430,925 ","486,452 ","340,810 ","436,562 ","442,741 ",,67年,42年,"415,437 ","415,155 ","425,914 ","434,738 ","432,032 ","427,948 ","449,983 ","460,116 ","456,439 ","422,176 ","452,685 ","431,934 ","418,835 ","431,573 ","455,513 ","435,598 ",
,68年,43年,"541,263 ","500,910 ","496,159 ","482,300 ","428,559 ","382,726 ","401,845 ","507,240 ","510,981 ","450,619 ","360,243 ","259,872 ","512,777 ","431,195 ","473,355 ","356,911 ","443,560 ","447,343 ",,68年,43年,"448,893 ","422,851 ","419,149 ","418,953 ","425,968 ","447,898 ","445,958 ","446,231 ","434,166 ","416,986 ","451,717 ","439,538 ","430,298 ","430,940 ","442,118 ","436,080 ",
,69年,44年,"553,943 ","507,293 ","522,499 ","526,634 ","467,664 ","419,185 ","450,483 ","547,039 ","611,505 ","564,040 ","415,981 ","326,879 ","527,912 ","471,161 ","536,342 ","435,633 ","492,762 ","514,632 ",,69年,44年,"453,182 ","469,904 ","461,552 ","478,933 ","474,735 ","495,675 ","495,897 ","496,976 ","506,649 ","539,624 ","529,408 ","539,185 ","461,546 ","483,114 ","499,841 ","536,072 ",
,70年,45年,"637,254 ","591,750 ","617,166 ","560,423 ","509,599 ","471,539 ","448,761 ","542,240 ","638,048 ","544,578 ","381,181 ","314,012 ","615,390 ","513,854 ","543,016 ","413,257 ","521,379 ","505,706 ",,70年,45年,"537,599 ","533,687 ","526,474 ","516,405 ","539,814 ","523,313 ","498,132 ","504,577 ","534,066 ","515,116 ","508,907 ","515,584 ","532,587 ","526,511 ","512,258 ","513,202 ",
,71年,46年,"556,199 ","519,982 ","581,908 ","501,799 ","428,284 ","401,516 ","398,097 ","493,713 ","521,240 ","437,637 ","337,487 ","263,352 ","552,696 ","443,866 ","471,017 ","346,159 ","453,435 ","448,772 ",,71年,46年,"472,192 ","469,933 ","467,028 ","466,209 ","457,196 ","441,005 ","446,047 ","441,664 ","434,496 ","417,033 ","432,218 ","433,122 ","469,718 ","454,803 ","440,736 ","427,458 ",
,72年,47年,"515,401 ","520,308 ","566,425 ","487,459 ","471,204 ","447,840 ","442,617 ","623,775 ","638,099 ","606,288 ","470,236 ","407,345 ","534,045 ","468,834 ","568,164 ","494,623 ","516,416 ","578,970 ",,72年,47年,"445,585 ","444,098 ","460,215 ","471,408 ","475,839 ","495,951 ","510,269 ","535,741 ","537,033 ","580,304 ","601,326 ","696,958 ","449,966 ","481,066 ","527,681 ","626,196 ",
